Date,Open,High,Low,Close,Adj Close,Volume
2021-10-01,149.72000122070312,151.6300048828125,148.19000244140625,150.64999389648438,148.32156372070312,1605900
2021-10-04,149.9499969482422,151.38999938964844,147.35000610351562,148.36000061035156,146.06695556640625,1748600
2021-10-05,149.02000427246094,152.1199951171875,148.1999969482422,151.25999450683594,148.92214965820312,1762300
2021-10-06,149.74000549316406,151.82000732421875,148.11000061035156,151.6999969482422,149.35533142089844,1067700
2021-10-07,153.38999938964844,154.64999389648438,153.2100067138672,153.9199981689453,151.541015625,1783400
2021-10-08,153.33999633789062,154.22000122070312,152.77000427246094,153.55999755859375,151.1865997314453,1154300
2021-10-11,153.42999267578125,154.75999450683594,152.42999267578125,152.55999755859375,150.20204162597656,1179900
2021-10-12,153.30999755859375,154.27999877929688,151.35000610351562,151.6199951171875,149.27658081054688,1270800
2021-10-13,152.36000061035156,154.4499969482422,151.5399932861328,153.38999938964844,151.01922607421875,1404200
2021-10-14,154.63999938964844,159.9499969482422,153.75,159.57000732421875,157.1037139892578,2075400
2021-10-15,160.86000061035156,162.4499969482422,159.52999877929688,161.4499969482422,158.95465087890625,1678800
2021-10-18,160.3699951171875,161.8800048828125,159.80999755859375,161.27000427246094,158.77743530273438,884200
2021-10-19,162.0800018310547,162.57000732421875,160.88999938964844,161.47999572753906,158.9841766357422,883300
2021-10-20,161.74000549316406,163.3300018310547,160.72999572753906,163.1999969482422,160.67759704589844,1146000
2021-10-21,162.05999755859375,162.57000732421875,160.6699981689453,162.1199951171875,159.61428833007812,1368100
2021-10-22,162.74000549316406,164.0399932861328,162.27999877929688,162.3800048828125,159.8702850341797,771800
2021-10-25,162.1999969482422,163.94000244140625,161.3300018310547,162.50999450683594,159.99826049804688,1022900
2021-10-26,163.17999267578125,163.17999267578125,161.27000427246094,161.33999633789062,158.84634399414062,983600
2021-10-27,161.72999572753906,163.4499969482422,160.05999755859375,160.1199951171875,157.64520263671875,1029700
2021-10-28,160.1199951171875,165.07000732421875,160.1199951171875,164.9600067138672,162.410400390625,1632900
2021-10-29,164.33999633789062,165.9600067138672,163.82000732421875,164.75999450683594,162.21348571777344,1678100
2021-11-01,165.1999969482422,165.94000244140625,163.25999450683594,164.33999633789062,161.7999725341797,1637300
2021-11-02,166.13999938964844,172.24000549316406,165.0,171.6300048828125,168.97731018066406,2398100
2021-11-03,169.63999938964844,172.00999450683594,167.3300018310547,169.49000549316406,166.87039184570312,1953900
2021-11-04,170.9199981689453,173.05999755859375,170.58999633789062,171.97999572753906,169.3218994140625,1147600
2021-11-05,172.92999267578125,173.4499969482422,170.27999877929688,171.3000030517578,168.65240478515625,1217600
2021-11-08,174.3300018310547,174.80999755859375,172.3000030517578,173.72000122070312,171.03501892089844,1695300
2021-11-09,173.88999938964844,175.24000549316406,173.42999267578125,174.66000366210938,171.96047973632812,1036900
2021-11-10,173.9499969482422,173.9499969482422,171.32000732421875,171.8699951171875,169.95310974121094,1314400
2021-11-11,172.02999877929688,172.1300048828125,169.50999450683594,169.9199981689453,168.0248565673828,1156000
2021-11-12,170.4600067138672,172.32000732421875,168.82000732421875,171.8000030517578,169.8839111328125,1188400
2021-11-15,171.99000549316406,173.2100067138672,171.55999755859375,172.74000549316406,170.81341552734375,1019600
2021-11-16,172.74000549316406,175.72000122070312,172.4199981689453,173.8000030517578,171.86160278320312,1434800
2021-11-17,173.8000030517578,174.3000030517578,171.50999450683594,173.10000610351562,171.16941833496094,1433300
2021-11-18,173.16000366210938,173.5800018310547,171.66000366210938,173.32000732421875,171.386962890625,900800
2021-11-19,173.3800048828125,173.80999755859375,171.9199981689453,172.3000030517578,170.37832641601562,1334200
2021-11-22,173.3800048828125,174.91000366210938,172.19000244140625,172.32000732421875,170.3981170654297,1254800
2021-11-23,172.02000427246094,172.94000244140625,171.27999877929688,172.57000732421875,170.6453094482422,1054300
2021-11-24,171.4600067138672,172.22999572753906,170.1699981689453,170.9499969482422,169.0433807373047,1235900
2021-11-26,166.63999938964844,168.17999267578125,164.41000366210938,167.50999450683594,165.64173889160156,1121000
2021-11-29,169.3800048828125,169.64999389648438,165.4499969482422,167.3800048828125,165.51319885253906,2068700
2021-11-30,166.07000732421875,166.91000366210938,161.3800048828125,162.05999755859375,160.25253295898438,4247200
2021-12-01,165.47999572753906,167.25999450683594,161.3699951171875,161.47000122070312,159.6691131591797,1947100
2021-12-02,162.10000610351562,167.52999877929688,162.10000610351562,166.6300048828125,164.77157592773438,1413200
2021-12-03,167.3300018310547,168.10000610351562,164.47999572753906,166.44000244140625,164.58367919921875,1360800
2021-12-06,167.7899932861328,170.66000366210938,166.52999877929688,169.8300018310547,167.9358673095703,1733500
2021-12-07,172.1699981689453,174.47000122070312,170.25,170.58999633789062,168.68739318847656,1884600
2021-12-08,170.88999938964844,171.4499969482422,168.02999877929688,169.9199981689453,168.0248565673828,1986900
2021-12-09,169.77999877929688,170.0,167.4600067138672,168.58999633789062,166.70970153808594,1844800
2021-12-10,169.57000732421875,170.88999938964844,169.13999938964844,170.4600067138672,168.55885314941406,1432800
2021-12-13,170.63999938964844,171.35000610351562,168.8000030517578,169.6999969482422,167.80731201171875,1598800
2021-12-14,168.41000366210938,169.35000610351562,162.5500030517578,164.83999633789062,163.00152587890625,2838000
2021-12-15,166.14999389648438,169.5,165.39999389648438,169.25999450683594,167.37222290039062,2263800
2021-12-16,170.6699981689453,171.25,167.94000244140625,168.8000030517578,166.91737365722656,1403500
2021-12-17,168.52999877929688,169.49000549316406,164.72000122070312,165.07000732421875,163.22897338867188,2666700
2021-12-20,163.32000732421875,164.5500030517578,161.16000366210938,164.05999755859375,162.230224609375,2146700
2021-12-21,165.4199981689453,167.3699951171875,164.39999389648438,167.24000549316406,165.37477111816406,2014100
2021-12-22,166.75,167.67999267578125,166.32000732421875,166.74000549316406,164.88034057617188,1259800
2021-12-23,167.27000427246094,169.17999267578125,167.14999389648438,168.0399932861328,166.1658172607422,861800
2021-12-27,168.94000244140625,170.74000549316406,167.72999572753906,170.6699981689453,168.76651000976562,730700
